"symbol","date","open","high","low","close","volume","adjusted","returns"
"TPMA.JK",2016-09-07,189,189,150,160,8100,88.0751342773438,0.0984400728132525
"TPMA.JK",2016-09-08,157,158,150,150,506000,82.570426940918,-0.0645385211375712
"TPMA.JK",2016-09-09,195,195,156,158,4600,86.9741897583008,0.051959738930711
"TPMA.JK",2016-09-13,158,158,158,158,0,86.9741897583008,0
"TPMA.JK",2016-09-14,188,188,153,153,200,84.2218322753906,-0.0321571116345313
"TPMA.JK",2016-09-15,153,163,153,161,300,88.6255950927734,0.0509664435920276
"TPMA.JK",2016-09-16,161,161,145,145,100,79.8180694580078,-0.104670622563889
"TPMA.JK",2016-09-19,165,165,165,165,100,90.8274765014648,0.129211731480006
"TPMA.JK",2016-09-20,175,175,175,175,100,96.332160949707,0.0588405000229334
"TPMA.JK",2016-09-21,185,195,175,175,300,96.332160949707,0
"TPMA.JK",2016-09-22,175,175,160,160,10400,88.0751342773438,-0.0896121586896872
"TPMA.JK",2016-09-23,145,145,145,145,9300,79.8180694580078,-0.0984400728132525
"TPMA.JK",2016-09-26,145,145,145,145,4500,79.8180694580078,0
"TPMA.JK",2016-09-27,145,145,145,145,0,79.8180694580078,0
"TPMA.JK",2016-09-28,145,145,145,145,0,79.8180694580078,0
"TPMA.JK",2016-09-29,145,145,145,145,300,79.8180694580078,0
"TPMA.JK",2016-09-30,145,145,145,145,0,79.8180694580078,0
"TPMA.JK",2016-10-03,145,145,145,145,0,79.8180694580078,0
"TPMA.JK",2016-10-04,145,145,143,143,1000,78.7171401977539,-0.0138891121606672
"TPMA.JK",2016-10-05,143,143,143,143,0,78.7171401977539,0
"TPMA.JK",2016-10-06,143,143,143,143,0,78.7171401977539,0
"TPMA.JK",2016-10-07,143,143,143,143,0,78.7171401977539,0
"TPMA.JK",2016-10-10,143,143,143,143,1200,78.7171401977539,0
"TPMA.JK",2016-10-11,143,143,143,143,0,78.7171401977539,0
"TPMA.JK",2016-10-12,157,157,145,145,1756800,79.8180694580078,0.0138891121606671
"TPMA.JK",2016-10-13,146,146,145,145,3600,79.8180694580078,0
"TPMA.JK",2016-10-14,145,145,145,145,0,79.8180694580078,0
"TPMA.JK",2016-10-17,145,145,145,145,0,79.8180694580078,0
"TPMA.JK",2016-10-18,165,193,161,175,120300,96.332160949707,0.18805223150294
"TPMA.JK",2016-10-19,183,228,183,190,68500,104.589210510254,0.082238098236972
"TPMA.JK",2016-10-20,220,220,195,195,188200,107.34156036377,0.0259754864032607
"TPMA.JK",2016-10-21,185,220,185,220,300,121.10327911377,0.120627987788615
"TPMA.JK",2016-10-24,220,220,220,220,500,121.10327911377,0
"TPMA.JK",2016-10-25,208,216,208,216,7000,118.901412963867,-0.0183491386681965
"TPMA.JK",2016-10-26,216,216,216,216,93300,118.901412963867,0
"TPMA.JK",2016-10-27,220,222,214,216,95000,118.901412963867,0
"TPMA.JK",2016-10-28,226,226,220,220,800,121.10327911377,0.0183491386681966
"TPMA.JK",2016-10-31,220,228,220,228,700,125.507064819336,0.0357180826020792
"TPMA.JK",2016-11-01,228,228,220,220,200,121.10327911377,-0.0357180826020792
"TPMA.JK",2016-11-02,220,220,220,220,91800,121.10327911377,0
"TPMA.JK",2016-11-03,220,220,220,220,0,121.10327911377,0
"TPMA.JK",2016-11-04,220,220,220,220,0,121.10327911377,0
"TPMA.JK",2016-11-07,220,220,220,220,0,121.10327911377,0
"TPMA.JK",2016-11-08,220,220,220,220,0,121.10327911377,0
"TPMA.JK",2016-11-09,220,220,220,220,0,121.10327911377,0
"TPMA.JK",2016-11-10,220,220,220,220,0,121.10327911377,0
"TPMA.JK",2016-11-11,220,220,220,220,0,121.10327911377,0
"TPMA.JK",2016-11-14,220,220,220,220,0,121.10327911377,0
"TPMA.JK",2016-11-15,220,220,220,220,2500,121.10327911377,0
"TPMA.JK",2016-11-16,220,220,220,220,0,121.10327911377,0
"TPMA.JK",2016-11-17,214,214,214,214,3500,117.800468444824,-0.02765153133051
"TPMA.JK",2016-11-18,214,214,214,214,0,117.800468444824,0
"TPMA.JK",2016-11-21,214,214,214,214,400,117.800468444824,0
"TPMA.JK",2016-11-22,214,220,214,220,7001000,121.10327911377,0.0276515313305099
"TPMA.JK",2016-11-23,222,246,222,242,2277000,133.213623046875,0.0953101798043249
"TPMA.JK",2016-11-24,242,290,242,290,2653000,159.636138916016,0.180943196823833
"TPMA.JK",2016-11-25,292,350,292,300,3780200,165.140853881836,0.0339015516756814
"TPMA.JK",2016-11-28,300,316,296,306,5527400,168.443664550781,0.0198026272961797
"TPMA.JK",2016-11-29,306,318,306,314,7413800,172.847412109375,0.0258078839558725
"TPMA.JK",2016-11-30,314,318,314,316,6652400,173.948379516602,0.00634922767865874
"TPMA.JK",2016-12-01,316,320,314,318,7206500,175.049301147461,0.00630916919326476
"TPMA.JK",2016-12-02,318,318,314,314,7451300,172.847412109375,-0.0126583968719235
"TPMA.JK",2016-12-05,314,318,304,306,7365200,168.443664550781,-0.0258078839558726
"TPMA.JK",2016-12-06,306,310,304,308,7576900,169.544631958008,0.00651468102119367
"TPMA.JK",2016-12-07,308,308,304,306,7528500,168.443664550781,-0.00651468102119364
"TPMA.JK",2016-12-08,306,312,304,304,7570000,167.342742919922,-0.00655740054615905
"TPMA.JK",2016-12-09,304,306,302,302,7039000,166.241775512695,-0.00660068403135202
"TPMA.JK",2016-12-13,302,304,298,300,7428200,165.140853881836,-0.00664454271866861
"TPMA.JK",2016-12-14,300,306,296,306,8818600,168.443664550781,0.0198026272961797
"TPMA.JK",2016-12-15,306,316,306,310,7375600,170.645568847656,0.0129871955268111
"TPMA.JK",2016-12-16,310,316,308,308,7642400,169.544631958008,-0.00647251450561748
"TPMA.JK",2016-12-19,310,312,304,306,8215800,168.443664550781,-0.00651468102119364
"TPMA.JK",2016-12-20,306,318,306,308,7841600,169.544631958008,0.00651468102119367
"TPMA.JK",2016-12-21,308,314,304,304,8214900,167.342742919922,-0.0130720815673528
"TPMA.JK",2016-12-22,304,306,296,296,7843300,162.93896484375,-0.0266682470821613
"TPMA.JK",2016-12-23,296,308,296,304,6803900,167.342742919922,0.0266682470821613
"TPMA.JK",2016-12-27,304,316,304,314,6227800,172.847412109375,0.0323652845020317
"TPMA.JK",2016-12-28,314,316,312,316,5187600,173.948379516602,0.00634922767865874
"TPMA.JK",2016-12-29,316,324,314,316,8192200,173.948379516602,0
"TPMA.JK",2016-12-30,316,318,308,316,6593700,173.948379516602,0
"TPMA.JK",2017-01-02,316,316,316,316,0,173.948379516602,0
"TPMA.JK",2017-01-03,314,314,306,308,7676900,169.544631958008,-0.0256424306133377
"TPMA.JK",2017-01-04,308,312,300,302,7165600,166.241775512695,-0.0196727655987048
"TPMA.JK",2017-01-05,302,308,302,302,6503700,166.241775512695,0
"TPMA.JK",2017-01-06,302,304,296,302,3691600,166.241775512695,0
"TPMA.JK",2017-01-09,302,314,302,310,10521300,170.645568847656,0.0261452801043222
"TPMA.JK",2017-01-10,310,320,310,320,5264800,176.150268554688,0.0317486983145803
"TPMA.JK",2017-01-11,320,322,314,316,7343100,173.948379516602,-0.0125787822068601
"TPMA.JK",2017-01-12,316,320,306,306,4591200,168.443664550781,-0.0321571116345313
"TPMA.JK",2017-01-13,306,306,294,300,4727200,165.140853881836,-0.0198026272961798
"TPMA.JK",2017-01-16,300,306,300,304,5309500,167.342742919922,0.0132452267500207
"TPMA.JK",2017-01-17,304,310,302,306,5156800,168.443664550781,0.00655740054615904
"TPMA.JK",2017-01-18,306,314,306,308,5035200,169.544631958008,0.00651468102119367
"TPMA.JK",2017-01-19,308,314,304,306,5009000,168.443664550781,-0.00651468102119364
"TPMA.JK",2017-01-20,306,312,302,306,5065200,168.443664550781,0
"TPMA.JK",2017-01-23,306,310,298,302,5449100,166.241775512695,-0.0131580845775111
"TPMA.JK",2017-01-24,302,310,300,300,5216400,165.140853881836,-0.00664454271866861
"TPMA.JK",2017-01-25,306,306,300,300,5533900,165.140853881836,0
"TPMA.JK",2017-01-26,300,306,298,300,5533300,165.140853881836,0
"TPMA.JK",2017-01-27,300,304,298,300,5165000,165.140853881836,0
